UserId	CheckinTime	VenueId	VenueType	X	Y
65	2019-07-01T05:50:00	1757	Pub	740655.8408336568	3737433.0427312753
662	2019-07-01T05:50:00	1755	Pub	742852.1433365949	3737131.339528878
136	2019-07-01T06:05:00	1759	Pub	742227.2841608997	3735808.850782855
580	2019-07-01T06:05:00	1755	Pub	742852.1433365949	3737131.339528878
593	2019-07-01T06:05:00	1759	Pub	742227.2841608997	3735808.850782855
565	2019-07-01T06:10:00	1758	Pub	742007.7946285061	3738632.068257144
197	2019-07-01T06:15:00	1755	Pub	742852.1433365949	3737131.339528878
333	2019-07-01T06:15:00	1753	Pub	742691.3813103545	3737968.4825646216
474	2019-07-01T06:15:00	1759	Pub	742227.2841608997	3735808.850782855
362	2019-07-01T06:20:00	1671	Workplace	743699.6834762994	3737140.6257599727
624	2019-07-01T06:20:00	1725	Workplace	740048.7473609443	3737885.9649399547
46	2019-07-01T06:25:00	1514	Workplace	743411.74160724	3736964.3617646135
294	2019-07-01T06:25:00	1702	Workplace	741919.6115245299	3738821.964820734
473	2019-07-01T06:25:00	1752	Pub	742937.49938713	3737727.502252377
497	2019-07-01T06:25:00	1755	Pub	742852.1433365949	3737131.339528878
580	2019-07-01T06:25:00	1776	Restaurant	742676.754453138	3737445.473074196
712	2019-07-01T06:25:00	1588	Workplace	740278.4929557303	3737838.020062913
912	2019-07-01T06:25:00	1760	Pub	742603.0142758178	3737985.4888885072
982	2019-07-01T06:25:00	1769	Restaurant	743427.0192977436	3738206.702608287
11	2019-07-01T06:30:00	1549	Workplace	742468.5337409362	3737883.8223130717
86	2019-07-01T06:30:00	1553	Workplace	740021.2779057021	3736855.063046709
408	2019-07-01T06:30:00	1692	Workplace	743448.5576536714	3738422.27181999
647	2019-07-01T06:30:00	1703	Workplace	743777.2347543458	3738212.187961369
108	2019-07-01T06:35:00	1536	Workplace	739926.5611085886	3735983.4308801075
114	2019-07-01T06:35:00	1735	Workplace	742584.3434325255	3737058.6028385786
215	2019-07-01T06:35:00	1563	Workplace	742061.083882604	3738551.2761632786
250	2019-07-01T06:35:00	1537	Workplace	743214.2553612726	3737973.9807705185
251	2019-07-01T06:35:00	1667	Workplace	742007.7946285061	3738632.068257144
257	2019-07-01T06:35:00	1710	Workplace	740673.1925091438	3737518.9893851685
295	2019-07-01T06:35:00	1617	Workplace	743402.232818397	3736965.208433931
307	2019-07-01T06:35:00	1534	Workplace	741641.3685264187	3738059.327741751
413	2019-07-01T06:35:00	1573	Workplace	742012.3197536675	3737976.7541497336
420	2019-07-01T06:35:00	1529	Workplace	740939.3091340308	3738059.433579763
492	2019-07-01T06:35:00	1590	Workplace	744012.2441846874	3737204.359170471
515	2019-07-01T06:35:00	1632	Workplace	741926.5905026603	3736033.4712465284
594	2019-07-01T06:35:00	1583	Workplace	742015.2579211225	3738330.7473732196
676	2019-07-01T06:35:00	1737	Workplace	743073.9820585839	3735419.5696762614
734	2019-07-01T06:35:00	1696	Workplace	742909.2669744297	3737096.4428534755
739	2019-07-01T06:35:00	1673	Workplace	740159.2522371069	3735707.3452406614
921	2019-07-01T06:35:00	1625	Workplace	742018.3703010434	3737862.8784383186
964	2019-07-01T06:35:00	1533	Workplace	743099.9101813395	3738165.599255244
63	2019-07-01T06:40:00	1583	Workplace	742015.2579211225	3738330.7473732196
164	2019-07-01T06:40:00	1574	Workplace	742285.1041347863	3737729.955033483
262	2019-07-01T06:40:00	1664	Workplace	742680.9190607948	3738159.907592152
273	2019-07-01T06:40:00	1558	Workplace	740774.4449157176	3737560.1754123187
285	2019-07-01T06:40:00	1514	Workplace	743411.74160724	3736964.3617646135
310	2019-07-01T06:40:00	1679	Workplace	742758.9298531547	3738029.248870031
397	2019-07-01T06:40:00	1607	Workplace	741733.0389277561	3737971.890794901
743	2019-07-01T06:40:00	1752	Pub	742937.49938713	3737727.502252377
768	2019-07-01T06:40:00	1640	Workplace	742527.1459707207	3737995.025713722
792	2019-07-01T06:40:00	1747	Workplace	741873.4580590996	3738261.7462801277
868	2019-07-01T06:40:00	1629	Workplace	742597.4969406034	3738185.6516872128
938	2019-07-01T06:40:00	1537	Workplace	743214.2553612726	3737973.9807705185
974	2019-07-01T06:40:00	1748	Workplace	742494.4564080039	3738257.862542534
980	2019-07-01T06:40:00	1544	Workplace	740021.2779057021	3736855.063046709
32	2019-07-01T06:45:00	1771	Restaurant	743862.7621466367	3736516.8126094225
37	2019-07-01T06:45:00	1679	Workplace	742758.9298531547	3738029.248870031
221	2019-07-01T06:45:00	1598	Workplace	742758.9298531547	3738029.248870031
241	2019-07-01T06:45:00	1628	Workplace	742543.4146964035	3737990.4689616454
266	2019-07-01T06:45:00	1514	Workplace	743411.74160724	3736964.3617646135
462	2019-07-01T06:45:00	1513	Workplace	741115.0705932558	3737335.221311753
548	2019-07-01T06:45:00	1778	Restaurant	741802.1697454471	3737539.16816851
577	2019-07-01T06:45:00	1592	Workplace	741412.87861904	3738521.92221486
650	2019-07-01T06:45:00	1741	Workplace	740714.6815342755	3737160.365251262
737	2019-07-01T06:45:00	1724	Workplace	741608.0510600351	3738513.7703830265
818	2019-07-01T06:45:00	1670	Workplace	741802.1697454471	3737539.16816851
852	2019-07-01T06:45:00	1637	Workplace	742375.9582521066	3735499.414108558
989	2019-07-01T06:45:00	1669	Workplace	742065.0075232068	3735968.084059197
994	2019-07-01T06:45:00	1522	Workplace	743771.0304623267	3737837.083761582
998	2019-07-01T06:45:00	1556	Workplace	739903.8398867972	3736325.761688221
0	2019-07-01T06:50:00	1730	Workplace	742305.3565470277	3737872.193592363
4	2019-07-01T06:50:00	1572	Workplace	742392.85093321	3737593.6832078947
22	2019-07-01T06:50:00	1727	Workplace	742034.2928201065	3737670.699531464
59	2019-07-01T06:50:00	1654	Workplace	743220.8289398366	3738116.1737285824
67	2019-07-01T06:50:00	1582	Workplace	741115.0705932558	3737335.221311753
81	2019-07-01T06:50:00	1614	Workplace	743470.8459095905	3738096.4690096485
88	2019-07-01T06:50:00	1527	Workplace	740510.0090242553	3736053.6824381077
206	2019-07-01T06:50:00	1553	Workplace	740021.2779057021	3736855.063046709
219	2019-07-01T06:50:00	1534	Workplace	741641.3685264187	3738059.327741751
328	2019-07-01T06:50:00	1515	Workplace	741539.8770360326	3736422.7999462723
370	2019-07-01T06:50:00	1627	Workplace	742431.0105230524	3737902.8357400442
573	2019-07-01T06:50:00	1533	Workplace	743099.9101813395	3738165.599255244
580	2019-07-01T06:50:00	1755	Pub	742852.1433365949	3737131.339528878
581	2019-07-01T06:50:00	1713	Workplace	739968.3141042938	3737848.5436864425
