time	from	to
2019-07-01T00:00:00	683	688
2019-07-01T00:00:00	683	686
2019-07-01T00:00:00	686	683
2019-07-01T00:00:00	686	688
2019-07-01T00:00:00	688	683
2019-07-01T00:00:00	688	686
2019-07-01T00:00:00	715	722
2019-07-01T00:00:00	715	717
2019-07-01T00:00:00	715	723
2019-07-01T00:00:00	717	722
2019-07-01T00:00:00	717	715
2019-07-01T00:00:00	717	723
2019-07-01T00:00:00	718	719
2019-07-01T00:00:00	718	720
2019-07-01T00:00:00	719	718
2019-07-01T00:00:00	719	720
2019-07-01T00:00:00	720	718
2019-07-01T00:00:00	720	719
2019-07-01T00:00:00	722	717
2019-07-01T00:00:00	722	715
2019-07-01T00:00:00	722	723
2019-07-01T00:00:00	723	722
2019-07-01T00:00:00	723	717
2019-07-01T00:00:00	723	715
2019-07-01T00:00:00	767	773
2019-07-01T00:00:00	767	771
2019-07-01T00:00:00	767	770
2019-07-01T00:00:00	770	773
2019-07-01T00:00:00	770	771
2019-07-01T00:00:00	770	767
2019-07-01T00:00:00	771	773
2019-07-01T00:00:00	771	767
2019-07-01T00:00:00	771	770
2019-07-01T00:00:00	773	771
2019-07-01T00:00:00	773	767
2019-07-01T00:00:00	773	770
2019-07-01T00:00:00	785	788
2019-07-01T00:00:00	785	789
2019-07-01T00:00:00	788	785
2019-07-01T00:00:00	788	789
2019-07-01T00:00:00	789	788
2019-07-01T00:00:00	789	785
2019-07-01T00:00:00	822	823
2019-07-01T00:00:00	822	833
2019-07-01T00:00:00	822	830
2019-07-01T00:00:00	823	833
2019-07-01T00:00:00	823	830
2019-07-01T00:00:00	823	822
2019-07-01T00:00:00	824	826
2019-07-01T00:00:00	824	829
2019-07-01T00:00:00	824	827
2019-07-01T00:00:00	826	829
2019-07-01T00:00:00	826	827
2019-07-01T00:00:00	826	824
2019-07-01T00:00:00	827	826
2019-07-01T00:00:00	827	829
2019-07-01T00:00:00	827	824
2019-07-01T00:00:00	829	826
2019-07-01T00:00:00	829	827
2019-07-01T00:00:00	829	824
2019-07-01T00:00:00	830	823
2019-07-01T00:00:00	830	833
2019-07-01T00:00:00	830	822
2019-07-01T00:00:00	833	823
2019-07-01T00:00:00	833	830
2019-07-01T00:00:00	833	822
2019-07-01T00:00:00	834	841
2019-07-01T00:00:00	834	838
2019-07-01T00:00:00	834	837
2019-07-01T00:00:00	837	841
2019-07-01T00:00:00	837	834
2019-07-01T00:00:00	837	838
2019-07-01T00:00:00	838	841
2019-07-01T00:00:00	838	834
2019-07-01T00:00:00	838	837
2019-07-01T00:00:00	840	858
2019-07-01T00:00:00	840	854
2019-07-01T00:00:00	840	852
2019-07-01T00:00:00	841	834
2019-07-01T00:00:00	841	838
2019-07-01T00:00:00	841	837
2019-07-01T00:00:00	852	858
2019-07-01T00:00:00	852	854
2019-07-01T00:00:00	852	840
2019-07-01T00:00:00	854	858
2019-07-01T00:00:00	854	852
